Nucleus, size, telo_mean_grey_val
1 , 91 , 0
36 , 145 , 0
39 , 153 , 0
43 , 124 , 0
45 , 141 , 0
49 , 68 , 0
50 , 95 , 0
52 , 80 , 0
53 , 52 , 0
57 , 91 , 0
72 , 115 , 0
75 , 158 , 0
76 , 113 , 0
77 , 132 , 0
83 , 87 , 0
84 , 161 , 0
86 , 68 , 0
87 , 78 , 0
88 , 117 , 0
89 , 134 , 0
90 , 144 , 0
91 , 162 , 0
92 , 97 , 0
96 , 144 , 0
99 , 136 , 0
102 , 152 , 0
103 , 159 , 0
106 , 158 , 0
112 , 164 , 0
113 , 80 , 0
119 , 105 , 0
126 , 135 , 0
132 , 142 , 0
133 , 117 , 0
135 , 118 , 0
137 , 173 , 0
138 , 153 , 0
148 , 292 , 16.4897
152 , 156 , 69.4936
153 , 176 , 8.4773
